period,num_trips,total_amount,trip_distance,passenger_count
2023-01-01,0,0.0,0.0,0
2023-01-08,0,0.0,0.0,0
2023-01-15,0,0.0,0.0,0
2023-01-22,0,0.0,0.0,0
2023-01-29,1302711,33547339.5,6086154.39,1683006
2023-02-05,2200818,59029616.85,7503630.69,2875251
2023-02-12,2208597,59766748.86,7671718.92,2920323
2023-02-19,2173866,59135243.97,9295376.25,2917719
2023-02-26,855807,23662113.27,3256951.11,1118274
2023-03-01,560895,15181854.49,2412606.42,739953
2023-03-05,51,1453.2,152.19,54
2023-03-08,774813,21192570.67,2739557.76,1019293
2023-03-12,0,0.0,0.0,0
2023-03-15,787016,22096056.77,3079735.47,1044648
2023-03-19,0,0.0,0.0,0
2023-03-22,734288,20675428.19,2935650.0,969859
2023-03-29,546619,15487225.76,2120015.03,707576
